,encrypt 128 byte packets,decrypt 128 byte packets,encrypt 16 byte packets,decrypt 16 byte packets,hash 1024 bytes,hash 128 bytes,hash 16 bytes
ChaChaPoly,815359.31,755113.25,213375.06,204280.53,,,
BLAKE2s,,,,,1161076.75,1135879.63,277689.78
ASCON-128,615739.88,588343.44,228985.78,222356.05,,,
ASCON-128a,771828.25,721696.0,240939.67,233315.52,,,
ASCON-80pq,611445.5,585705.13,224278.11,219288.23,,,
Delirium,113443.5,111877.45,51202.89,50507.66,,,
GIFT-COFB,501469.16,476545.06,169905.48,164293.53,,,
Grain-128AEAD,250216.5,244747.02,121042.17,119195.43,,,
PHOTON-Beetle-AEAD-ENC-128,73735.23,73251.06,41624.64,41315.06,,,
PHOTON-Beetle-AEAD-ENC-32,20410.26,20370.69,16818.38,16768.38,,,
Romulus-N,129117.25,127335.81,48821.47,48316.67,,,
Romulus-M,78134.88,77465.57,32787.27,32550.56,,,
Romulus-T,32938.24,32826.84,14668.83,14625.74,,,
Schwaemm256-128,1056750.88,965272.81,305833.78,287272.06,,,
Schwaemm192-192,835160.25,789528.88,301505.66,280540.97,,,
Schwaemm128-128,968618.25,914560.06,460016.88,423904.69,,,
Schwaemm256-256,639776.06,603978.69,176358.42,167201.94,,,
TinyJAMBU-128,648363.88,618477.0,335547.0,318830.97,,,
TinyJAMBU-192,376404.16,360786.97,198815.39,191555.59,,,
TinyJAMBU-256,337143.75,326814.06,183136.2,177771.19,,,
Xoodyak,855615.0,798303.63,291757.84,278180.25,,,
ASCON-128-Masked,134889.91,133127.41,44524.55,44129.77,,,
ASCON-128a-Masked,167565.14,164807.44,47241.07,46780.11,,,
ASCON-80pq-Masked,134836.63,133086.56,44477.93,44094.26,,,
GIFT-COFB-Masked,6068.05,6064.08,2476.46,2475.18,,,
TinyJAMBU-128-Masked,7653.42,7647.44,4018.37,4015.68,,,
TinyJAMBU-192-Masked,6850.51,6845.71,3672.94,3670.73,,,
TinyJAMBU-256-Masked,6203.5,6199.57,3409.92,3408.06,,,
Xoodyak-Masked,7958.16,7951.29,2616.07,2614.64,,,
ASCON-HASH,,,,,509939.84,399888.78,146663.86
ASCON-HASHA,,,,,699947.44,498851.28,151238.73
Esch256,,,,,1007318.81,858068.44,393860.69
Esch384,,,,,543959.81,430427.88,161431.5
PHOTON-Beetle-HASH,,,,,21405.64,22647.37,42151.21
Romulus-H,,,,,121653.09,100010.69,61516.99
Xoodyak-Hash,,,,,855757.25,762298.38,407254.22
AES-128-GCM,240632.27,235677.09,100999.26,98937.25,,,
AES-192-GCM,219872.34,215724.64,92423.22,90689.92,,,
AES-256-GCM,201343.66,197861.86,83300.07,81893.38,,,
SHA256,,,,,1410835.63,978582.06,349654.16
Dumbo,11651.11,11638.91,5844.08,5838.29,,,
Jumbo,10792.38,10781.04,4734.5,4729.66,,,
ISAP-A-128A,114656.3,113385.72,20583.98,20500.21,,,
ISAP-A-128,30474.38,30383.38,4244.01,4240.42,,,
ISAP-K-128A,44752.74,44557.39,8027.0,8014.23,,,
ISAP-K-128,7442.54,7437.1,996.68,996.48,,,
[4] ASCON-128-Masked,134877.41,133115.64,44521.53,44126.57,,,
[4] ASCON-128a-Masked,167541.45,164793.42,47237.59,46775.88,,,
[4] ASCON-80pq-Masked,134824.83,133076.89,44474.51,44091.3,,,
[4] GIFT-COFB-Masked,6068.02,6064.06,2476.45,2475.18,,,
[4] TinyJAMBU-128-Masked,7653.43,7647.43,4018.34,4015.67,,,
[4] TinyJAMBU-192-Masked,6850.48,6845.71,3672.92,3670.7,,,
[4] TinyJAMBU-256-Masked,6203.47,6199.56,3409.9,3408.05,,,
[4] Xoodyak-Masked,7958.12,7951.25,2616.06,2614.63,,,
